,company,price,rating,processor,ram,battery,screen_size,width,height,frequency,rom
0,OnePlus,54999,89.0,Snapdragon,12.0,100.0,6.0,1440.0,3216.0,120.0,256.0
1,OnePlus,19989,81.0,Snapdragon,6.0,33.0,6.0,1080.0,2412.0,120.0,128.0
2,Samsung,16499,75.0,Exynos,4.0,15.0,6.0,1080.0,2408.0,90.0,64.0
3,Motorola,14999,81.0,Snapdragon,6.0,,6.0,1080.0,2400.0,120.0,128.0
4,Realme,24999,82.0,Dimensity,6.0,67.0,6.0,1080.0,2412.0,120.0,128.0
5,Samsung,16999,80.0,Snapdragon,6.0,25.0,6.0,1080.0,2408.0,120.0,128.0
6,Apple,65999,81.0,Bionic,6.0,,6.0,1170.0,2532.0,,128.0
7,Xiaomi,29999,86.0,Dimensity,8.0,120.0,6.0,1080.0,2400.0,120.0,256.0
8,Nothing,26749,85.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,120.0,128.0
9,OnePlus,28999,84.0,Dimensity,8.0,80.0,6.0,1080.0,2400.0,90.0,128.0
10,Realme,18999,82.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,120.0,128.0
11,Oppo,18999,79.0,Dimensity,8.0,33.0,6.0,720.0,1612.0,90.0,128.0
12,Xiaomi,24762,79.0,Dimensity,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
13,Vivo,16990,80.0,Snapdragon,6.0,18.0,6.0,1080.0,2408.0,120.0,128.0
14,Samsung,114990,,Snapdragon,8.0,45.0,6.0,1440.0,3088.0,120.0,256.0
15,Apple,62999,79.0,Bionic,4.0,,6.0,1170.0,2532.0,,128.0
16,Vivo,9999,65.0,Helio,3.0,10.0,6.0,720.0,1600.0,,32.0
17,OPPO,45999,86.0,Snapdragon,16.0,80.0,6.0,1080.0,2412.0,120.0,256.0
18,OnePlus,32999,86.0,Dimensity,8.0,80.0,6.0,1080.0,2412.0,120.0,128.0
19,Vivo,14499,72.0,Helio,4.0,18.0,6.0,720.0,1612.0,,64.0
20,OnePlus,39999,85.0,Snapdragon,8.0,100.0,6.0,1080.0,2412.0,120.0,128.0
21,Vivo,35999,85.0,Dimensity,8.0,66.0,6.0,1080.0,2376.0,120.0,128.0
22,Poco,14999,80.0,Snapdragon,6.0,67.0,6.0,1080.0,2400.0,120.0,64.0
23,Xiaomi,17859,76.0,Snapdragon,4.0,33.0,6.0,1080.0,2400.0,120.0,128.0
24,Vivo,42990,87.0,Dimensity,12.0,100.0,6.0,1080.0,2400.0,120.0,256.0
25,Samsung,31239,88.0,Snapdragon,8.0,,6.0,1080.0,2400.0,120.0,128.0
26,OnePlus,21995,84.0,Snapdragon,8.0,33.0,6.0,1080.0,2412.0,120.0,128.0
27,Apple,129990,76.0,Bionic,6.0,,6.0,1290.0,2796.0,120.0,128.0
28,Vivo,27999,83.0,Dimensity,8.0,44.0,6.0,1080.0,2408.0,90.0,128.0
29,OnePlus,69999,,Snapdragon,8.0,100.0,6.0,1440.0,3216.0,120.0,128.0
30,Realme,19999,84.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,120.0,128.0
31,Poco,20999,81.0,Snapdragon,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
32,Vivo,27990,83.0,Dimensity,8.0,67.0,6.0,1080.0,2400.0,120.0,256.0
33,Apple,38999,73.0,A13,4.0,,6.0,828.0,1792.0,,64.0
34,Samsung,23790,85.0,Dimensity,6.0,25.0,6.0,1080.0,2400.0,120.0,128.0
35,Samsung,39999,87.0,Exynos,8.0,25.0,6.0,1080.0,2340.0,120.0,128.0
36,Oppo,29990,87.0,Snapdragon,8.0,66.0,6.0,1080.0,2400.0,120.0,256.0
37,Samsung,91999,,Snapdragon,12.0,45.0,6.0,1440.0,3080.0,120.0,256.0
38,Xiaomi,32999,83.0,Snapdragon,6.0,210.0,6.0,1080.0,2460.0,120.0,128.0
39,OPPO,28499,83.0,Snapdragon,8.0,67.0,6.0,1080.0,2412.0,120.0,256.0
