company,price,rating,processor,ram,battery,screen_size,width,height,frequency,rom
OnePlus,54999,89.0,Snapdragon,12.0,100.0,6.0,1440.0,3216.0,120.0,256.0
OnePlus,19989,81.0,Snapdragon,6.0,33.0,6.0,1080.0,2412.0,120.0,128.0
Samsung,16499,75.0,Exynos,4.0,15.0,6.0,1080.0,2408.0,90.0,64.0
Motorola,14999,81.0,Snapdragon,6.0,46.329588014981276,6.0,1080.0,2400.0,120.0,128.0
Realme,24999,82.0,Dimensity,6.0,67.0,6.0,1080.0,2412.0,120.0,128.0
Samsung,16999,80.0,Snapdragon,6.0,25.0,6.0,1080.0,2408.0,120.0,128.0
Apple,65999,81.0,Bionic,6.0,46.329588014981276,6.0,1170.0,2532.0,111.63829787234043,128.0
Xiaomi,29999,86.0,Dimensity,8.0,120.0,6.0,1080.0,2400.0,120.0,256.0
Nothing,26749,85.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,120.0,128.0
OnePlus,28999,84.0,Dimensity,8.0,80.0,6.0,1080.0,2400.0,90.0,128.0
Realme,18999,82.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,120.0,128.0
Oppo,18999,79.0,Dimensity,8.0,33.0,6.0,720.0,1612.0,90.0,128.0
Xiaomi,24762,79.0,Dimensity,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
Vivo,16990,80.0,Snapdragon,6.0,18.0,6.0,1080.0,2408.0,120.0,128.0
Samsung,114990,78.25824800910125,Snapdragon,8.0,45.0,6.0,1440.0,3088.0,120.0,256.0
Apple,62999,79.0,Bionic,4.0,46.329588014981276,6.0,1170.0,2532.0,111.63829787234043,128.0
Vivo,9999,65.0,Helio,3.0,10.0,6.0,720.0,1600.0,111.63829787234043,32.0
OPPO,45999,86.0,Snapdragon,16.0,80.0,6.0,1080.0,2412.0,120.0,256.0
OnePlus,32999,86.0,Dimensity,8.0,80.0,6.0,1080.0,2412.0,120.0,128.0
Vivo,14499,72.0,Helio,4.0,18.0,6.0,720.0,1612.0,111.63829787234043,64.0
OnePlus,39999,85.0,Snapdragon,8.0,100.0,6.0,1080.0,2412.0,120.0,128.0
Vivo,35999,85.0,Dimensity,8.0,66.0,6.0,1080.0,2376.0,120.0,128.0
Poco,14999,80.0,Snapdragon,6.0,67.0,6.0,1080.0,2400.0,120.0,64.0
Xiaomi,17859,76.0,Snapdragon,4.0,33.0,6.0,1080.0,2400.0,120.0,128.0
Vivo,42990,87.0,Dimensity,12.0,100.0,6.0,1080.0,2400.0,120.0,256.0
Samsung,31239,88.0,Snapdragon,8.0,46.329588014981276,6.0,1080.0,2400.0,120.0,128.0
OnePlus,21995,84.0,Snapdragon,8.0,33.0,6.0,1080.0,2412.0,120.0,128.0
Apple,129990,76.0,Bionic,6.0,46.329588014981276,6.0,1290.0,2796.0,120.0,128.0
Vivo,27999,83.0,Dimensity,8.0,44.0,6.0,1080.0,2408.0,90.0,128.0
OnePlus,69999,78.25824800910125,Snapdragon,8.0,100.0,6.0,1440.0,3216.0,120.0,128.0
Realme,19999,84.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,120.0,128.0
Poco,20999,81.0,Snapdragon,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
Vivo,27990,83.0,Dimensity,8.0,67.0,6.0,1080.0,2400.0,120.0,256.0
Apple,38999,73.0,A13,4.0,46.329588014981276,6.0,828.0,1792.0,111.63829787234043,64.0
Samsung,23790,85.0,Dimensity,6.0,25.0,6.0,1080.0,2400.0,120.0,128.0
Samsung,39999,87.0,Exynos,8.0,25.0,6.0,1080.0,2340.0,120.0,128.0
Oppo,29990,87.0,Snapdragon,8.0,66.0,6.0,1080.0,2400.0,120.0,256.0
Samsung,91999,78.25824800910125,Snapdragon,12.0,45.0,6.0,1440.0,3080.0,120.0,256.0
Xiaomi,32999,83.0,Snapdragon,6.0,210.0,6.0,1080.0,2460.0,120.0,128.0
OPPO,28499,83.0,Snapdragon,8.0,67.0,6.0,1080.0,2412.0,120.0,256.0
OnePlus,21999,83.0,Snapdragon,6.0,67.0,6.0,1080.0,2412.0,120.0,128.0
Xiaomi,19999,83.0,Snapdragon,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
Motorola,18999,87.0,Dimensity,6.0,30.0,6.0,1080.0,2400.0,90.0,128.0
Realme,27999,85.0,Dimensity,8.0,67.0,6.0,1080.0,2412.0,120.0,256.0
Vivo,18499,80.0,Snapdragon,8.0,44.0,6.0,1080.0,2408.0,90.0,128.0
Samsung,17478,81.0,Exynos,6.0,25.0,6.0,1080.0,2400.0,120.0,128.0
Xiaomi,11936,76.0,Snapdragon,4.0,33.0,6.0,1080.0,2400.0,90.0,64.0
Realme,8950,64.0,Unisoc,3.0,46.329588014981276,6.0,720.0,1600.0,111.63829787234043,32.0
Vivo,12489,68.0,Helio,4.0,10.0,6.0,720.0,1600.0,111.63829787234043,64.0
Samsung,42999,78.25824800910125,Snapdragon,8.0,33.0,6.0,1080.0,2412.0,120.0,128.0
Samsung,18999,79.0,Exynos,6.0,15.0,6.0,1080.0,2408.0,90.0,128.0
iQOO,29999,82.0,Dimensity,8.0,120.0,6.0,1080.0,2400.0,120.0,128.0
Jio,11990,64.0,Snapdragon,4.0,18.0,6.0,720.0,1600.0,90.0,32.0
Motorola,18999,83.0,Snapdragon,6.0,30.0,6.0,1080.0,2400.0,120.0,128.0
Realme,13999,74.0,Helio,4.0,33.0,6.0,1080.0,2400.0,90.0,64.0
Realme,14965,75.0,Dimensity,4.0,18.0,6.0,1080.0,2408.0,90.0,64.0
Apple,74999,82.0,Bionic,6.0,46.329588014981276,6.0,1284.0,2778.0,111.63829787234043,128.0
Xiaomi,10999,78.0,Helio,6.0,33.0,6.0,1080.0,2400.0,111.63829787234043,64.0
Samsung,84990,89.0,Snapdragon,8.0,45.0,6.0,1080.0,2340.0,120.0,256.0
Motorola,10499,75.0,Snapdragon,4.0,33.0,6.0,1080.0,2400.0,90.0,64.0
Xiaomi,17990,78.0,Dimensity,6.0,67.0,6.0,1080.0,2460.0,120.0,128.0
Vivo,29990,85.0,Snapdragon,8.0,66.0,6.0,1080.0,2400.0,120.0,128.0
Samsung,18499,79.0,Snapdragon,6.0,25.0,6.0,1080.0,2408.0,111.63829787234043,128.0
Vivo,16499,75.0,Helio,6.0,18.0,6.0,720.0,1612.0,111.63829787234043,128.0
